class,service,count
analytics.accessrulesservice,analytics,9705
analytics.analyticsconfigcontroller,analytics,37
analytics.analyticsconfigservice,analytics,500
analytics.analyticseshelperservice,analytics,1099
analytics.analyticsesservice,analytics,15545
analytics.analyticshistorycontroller,analytics,589
analytics.analyticshistoryescontroller,analytics,824
analytics.analyticshistoryesservice,analytics,235
analytics.analyticshistoryservice,analytics,5145
analytics.analyticsservice,analytics,836
auth.logincontroller,auth,1516
auth.logoutcontroller,auth,1185
auth.saviyntjwttokenstorageservice,auth,6528
aws.awscommonutilservice,aws,465
azure.azureadprovisioningservice,azure,219
campaigns.campaignapplicationownerservice,campaigns,467
campaigns.campaigneoandroservice,campaigns,16
campaigns.campaignesservice,campaigns,1422
campaigns.campaignservice,campaigns,9597
campaigns.campaigntaskservice,campaigns,104
campaigns.campaignutilityservice,campaigns,15759
campaigns.campaignvalidationservice,campaigns,100
campaigns.certificationvalidationservice,campaigns,404
campaignv2.campaignutilityv2service,campaignV2,7284
campains.campaigncontroller,campains,294
campains.certificationcontroller,campains,1158
changeaction.userchangeactionhelperservice,changeaction,485
changeaction.userchangeactionservice,changeaction,13369
connectorms.connectormshelperservice,connectorms,112527
controllers.accountscontroller,controllers,5
controllers.dashboardcontroller,controllers,59
controllers.dataanalyzercontroller,controllers,9
controllers.endpointscontroller,controllers,120
controllers.entitlement_valuescontroller,controllers,1237
controllers.homecontroller,controllers,431
controllers.rolescontroller,controllers,454
controllers.rulesetscontroller,controllers,25
controllers.savrolescontroller,controllers,2
controllers.securitysystemscontroller,controllers,51
controllers.soddetailcontroller,controllers,50
cronparser.cronexpressiondescriptor,cronparser,17
domain.ecmconfigcontroller,domain,22
domain.flatviewjobcontrolcontroller,domain,241
domain.jobcontrolcontroller,domain,497
domain.jobcontrolservice,domain,1
ecm.receivemailservice,ecm,207
ecm.refreshdashboardservice,ecm,1385
epic.risksodevaluationhelperservice,epic,2404
epic.risksodevaluationservice,epic,40036
epic.sodcommonutilityservice,epic,2441
error.errorcontroller,error,373
errors.grailsexceptionresolver,errors,27
events.patcheddefaultflusheventlistener,events,7
export.excelexportservice,export,924
generic.genericprovisioningservice,generic,213221
groupmanagement.groupmanagementservice,groupmanagement,2436
hql.parser,hql,22
integration.externalconnectioncallservice,integration,5537
integration.sapdataimportservice,integration,1140
jobs.accountsimportfulljob,jobs,81
jobs.applicationdataimportjob,jobs,177
jobs.asyncrequestretryjob,jobs,22
jobs.campaigndeprovisioningjob,jobs,104
jobs.campaignreassignjob,jobs,66
jobs.campaignreminderjob,jobs,208
jobs.customqueryjob,jobs,424
jobs.customqueryv2job,jobs,543
jobs.dashboardrefreshjob,jobs,3
jobs.emailhistoryjob,jobs,48
jobs.enterpriserolemanagementjob,jobs,168
jobs.entitlementvalueimportjob,jobs,84
jobs.externaljarjob,jobs,16
jobs.incomingmailarsjob,jobs,24
jobs.jbpmretryjob,jobs,8
jobs.launchcertificationfromrulejob,jobs,2
jobs.microservicejob,jobs,100
jobs.multipleprovisioningjob,jobs,24291
jobs.reportjob,jobs,56
jobs.requestexipresjob,jobs,18
jobs.risksodevaluationjob,jobs,18
jobs.rulerunjob,jobs,173
jobs.runallanalyticsjob,jobs,1537
jobs.sapimportjob,jobs,203
jobs.triggerchainjob,jobs,192
jobs.userimportfulljob,jobs,6
jobs.userimportjob,jobs,15
jobs.wsretryjob,jobs,32412
keystore.keystoremanagementservice,keystore,45316
ldap.saviyntgroovyldapservice,ldap,65118
listeners.exceptionprinterjoblistener,listeners,4
log.loguserloginsservice,log,1382
mail.emailhistoryservice,mail,13075
messagingqueue.rabbitqueueservice,messagingQueue,8232
mfa.mfaservice,mfa,2744
microservice.microserviceapicallservice,microservice,125
navigation.navigationcontroller,navigation,15280
navigation.themeservice,navigation,15278
pam.pamservice,pam,606
