class,level,count
analytics.accessrulesservice,DEBUG,9705
analytics.analyticsconfigcontroller,DEBUG,37
analytics.analyticsconfigservice,DEBUG,496
analytics.analyticsconfigservice,ERROR,4
analytics.analyticseshelperservice,DEBUG,1098
analytics.analyticseshelperservice,ERROR,1
analytics.analyticsesservice,DEBUG,15422
analytics.analyticsesservice,ERROR,40
analytics.analyticsesservice,INFO,83
analytics.analyticshistorycontroller,DEBUG,572
analytics.analyticshistorycontroller,ERROR,17
analytics.analyticshistoryescontroller,DEBUG,824
analytics.analyticshistoryesservice,DEBUG,190
analytics.analyticshistoryesservice,INFO,45
analytics.analyticshistoryservice,DEBUG,4428
analytics.analyticshistoryservice,ERROR,717
analytics.analyticsservice,DEBUG,836
auth.logincontroller,DEBUG,1513
auth.logincontroller,WARN,3
auth.logoutcontroller,DEBUG,1185
auth.saviyntjwttokenstorageservice,DEBUG,6528
aws.awscommonutilservice,DEBUG,465
azure.azureadprovisioningservice,DEBUG,219
campaigns.campaignapplicationownerservice,DEBUG,467
campaigns.campaigneoandroservice,DEBUG,16
campaigns.campaignesservice,DEBUG,1422
campaigns.campaignservice,DEBUG,8931
campaigns.campaignservice,INFO,666
campaigns.campaigntaskservice,DEBUG,104
campaigns.campaignutilityservice,DEBUG,15759
campaigns.campaignvalidationservice,DEBUG,100
campaigns.certificationvalidationservice,DEBUG,404
campaignv2.campaignutilityv2service,DEBUG,7284
campains.campaigncontroller,DEBUG,294
campains.certificationcontroller,DEBUG,1158
changeaction.userchangeactionhelperservice,DEBUG,485
changeaction.userchangeactionservice,DEBUG,13107
changeaction.userchangeactionservice,INFO,262
connectorms.connectormshelperservice,DEBUG,112527
controllers.accountscontroller,DEBUG,5
controllers.dashboardcontroller,DEBUG,51
controllers.dashboardcontroller,INFO,8
controllers.dataanalyzercontroller,DEBUG,8
controllers.dataanalyzercontroller,ERROR,1
controllers.endpointscontroller,DEBUG,117
controllers.endpointscontroller,ERROR,3
controllers.entitlement_valuescontroller,DEBUG,1234
controllers.entitlement_valuescontroller,INFO,3
controllers.homecontroller,DEBUG,431
controllers.rolescontroller,DEBUG,420
controllers.rolescontroller,INFO,34
controllers.rulesetscontroller,DEBUG,25
controllers.savrolescontroller,INFO,2
controllers.securitysystemscontroller,DEBUG,51
controllers.soddetailcontroller,DEBUG,50
cronparser.cronexpressiondescriptor,ERROR,17
