service,level,count
analytics,DEBUG,33608
analytics,ERROR,779
analytics,INFO,128
auth,DEBUG,9226
auth,WARN,3
aws,DEBUG,465
azure,DEBUG,219
campaignV2,DEBUG,7284
campaigns,DEBUG,27203
campaigns,INFO,666
campains,DEBUG,1452
changeaction,DEBUG,13592
changeaction,INFO,262
connectorms,DEBUG,112527
controllers,DEBUG,2392
controllers,ERROR,4
controllers,INFO,47
cronparser,ERROR,17
domain,DEBUG,273
domain,ERROR,34
domain,INFO,454
ecm,DEBUG,1581
ecm,ERROR,11
epic,DEBUG,44476
epic,ERROR,324
epic,INFO,81
error,ERROR,373
errors,ERROR,27
events,ERROR,7
export,DEBUG,924
generic,DEBUG,213221
groupmanagement,DEBUG,2436
hql,ERROR,22
integration,DEBUG,6675
integration,ERROR,2
jobs,DEBUG,60925
jobs,ERROR,9
jobs,INFO,65
keystore,DEBUG,45316
ldap,DEBUG,64912
ldap,ERROR,206
listeners,ERROR,4
log,DEBUG,1382
mail,DEBUG,11137
mail,INFO,1938
messagingQueue,DEBUG,8232
mfa,DEBUG,2744
microservice,DEBUG,125
navigation,DEBUG,30556
navigation,ERROR,2
pam,DEBUG,606
provisoning,DEBUG,76512
provisoning,ERROR,18
provisoning,INFO,169
refresh,DEBUG,6232
resource,ERROR,1
rest,DEBUG,1083630
rest,ERROR,5558
rulerun,DEBUG,4465
ruleset,DEBUG,2
salesforce,DEBUG,6
saviynt,DEBUG,547316
saviynt,ERROR,214
saviynt,INFO,60
scanner,DEBUG,24
scanner,ERROR,8
security,DEBUG,20549
services,DEBUG,17672228
services,ERROR,109492
services,INFO,3726
sessionlistner,ERROR,2
survey,DEBUG,524
sync,DEBUG,10
transaction,ERROR,10
util,ERROR,16
utility,DEBUG,25360
validation,DEBUG,500
workflow,DEBUG,28751
workflow,ERROR,7
ws,DEBUG,13930
